"","gene","cluster","myAUC","avg_log2FC","description"
"1","Crip2","0",0.827,2.85713484338621,"cysteine rich protein 2 [Source:MGI Symbol;Acc:MGI:1915587]"
"2","Tuba1a","0",0.805,2.12291578669458,"tubulin, alpha 1A [Source:MGI Symbol;Acc:MGI:98869]"
"3","Id3","0",0.798,2.67178901993486,"inhibitor of DNA binding 3 [Source:MGI Symbol;Acc:MGI:96398]"
"4","Ly6a","0",0.783,3.400744885864,"lymphocyte antigen 6 complex, locus A [Source:MGI Symbol;Acc:MGI:107527]"
"5","Gng11","0",0.781,2.31953604314622,"guanine nucleotide binding protein (G protein), gamma 11 [Source:MGI Symbol;Acc:MGI:1913316]"
"6","Serpinh1","0",0.78,2.33407071054337,"serine (or cysteine) peptidase inhibitor, clade H, member 1 [Source:MGI Symbol;Acc:MGI:88283]"
"7","Sparc","0",0.768,2.57435646731102,"secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]"
"8","Cav1","0",0.767,2.44937264227334,"caveolae associated 1 [Source:MGI Symbol;Acc:MGI:1277968]"
"9","Aldh2","0",0.761,1.69322458878601,"aldehyde dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99600]"
"10","Tmem100","0",0.761,3.43055674561868,"transmembrane protein 100 [Source:MGI Symbol;Acc:MGI:1915138]"
"11","Lst1","1",0.988,3.72351275113871,"leukocyte specific transcript 1 [Source:MGI Symbol;Acc:MGI:1096324]"
"12","Tyrobp","1",0.96,2.44688065829505,"TYRO protein tyrosine kinase binding protein [Source:MGI Symbol;Acc:MGI:1277211]"
"13","Fcer1g","1",0.938,2.1746892522001,"Fc receptor, IgE, high affinity I, gamma polypeptide [Source:MGI Symbol;Acc:MGI:95496]"
"14","Alox5ap","1",0.931,2.34459773474333,"arachidonate 5-lipoxygenase activating protein [Source:MGI Symbol;Acc:MGI:107505]"
"15","Cebpb","1",0.931,2.16969773199294,"CCAAT/enhancer binding protein (C/EBP), beta [Source:MGI Symbol;Acc:MGI:88373]"
"16","Sfpi1","1",0.928,2.31021223747628,"spleen focus forming virus (SFFV) proviral integration oncogene [Source:MGI Symbol;Acc:MGI:98282]"
"17","Sepx1","1",0.903,2.79659864911904,"methionine sulfoxide reductase B1 [Source:MGI Symbol;Acc:MGI:1351642]"
"18","Cd300a","1",0.897,2.31780810288353,"CD300A molecule [Source:MGI Symbol;Acc:MGI:2443411]"
"19","Fxyd5","1",0.89,1.79301539928585,"FXYD domain-containing ion transport regulator 5 [Source:MGI Symbol;Acc:MGI:1201785]"
"20","Gsr","1",0.889,2.20085751219165,"glutathione reductase [Source:MGI Symbol;Acc:MGI:95804]"
"21","Chi3l3","2",0.997,5.06968626939646,"chitinase-like 3 [Source:MGI Symbol;Acc:MGI:1330860]"
"22","Abcg1","2",0.992,3.34879870077264,"ATP binding cassette subfamily G member 1 [Source:MGI Symbol;Acc:MGI:107704]"
"23","1600029D21Rik","2",0.988,3.2133356320065,"placenta expressed transcript 1 [Source:MGI Symbol;Acc:MGI:1923759]"
"24","Cd44","2",0.983,2.96381244516021,"CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]"
"25","Hebp1","2",0.976,2.82351991530047,"heme binding protein 1 [Source:MGI Symbol;Acc:MGI:1333880]"
"26","Ear2","2",0.974,3.19498084238527,"eosinophil-associated, ribonuclease A family, member 2 [Source:MGI Symbol;Acc:MGI:108020]"
"27","Ear1","2",0.97,3.26472067062642,"eosinophil-associated, ribonuclease A family, member 1 [Source:MGI Symbol;Acc:MGI:108021]"
"28","Ftl1","2",0.961,1.92660950081215,"ferritin light polypeptide 1 [Source:MGI Symbol;Acc:MGI:95589]"
"29","Clec7a","2",0.959,2.44430749377142,"C-type lectin domain family 7, member a [Source:MGI Symbol;Acc:MGI:1861431]"
"30","Mrc1","2",0.959,3.05683973161845,"mannose receptor, C type 1 [Source:MGI Symbol;Acc:MGI:97142]"
"31","Nkg7","3",0.999,5.16213692986764,"natural killer cell group 7 sequence [Source:MGI Symbol;Acc:MGI:1931250]"
"32","Klrd1","3",0.996,3.83210659251473,"killer cell lectin-like receptor, subfamily D, member 1 [Source:MGI Symbol;Acc:MGI:1196275]"
"33","AW112010","3",0.994,4.12739987335806,"expressed sequence AW112010 [Source:MGI Symbol;Acc:MGI:2147706]"
"34","Klrb1c","3",0.987,3.74468696530326,"killer cell lectin-like receptor subfamily B member 1C [Source:MGI Symbol;Acc:MGI:107538]"
"35","Ccl5","3",0.982,6.22068510510212,"chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262]"
"36","Ptprcap","3",0.972,2.88876800877601,"protein tyrosine phosphatase, receptor type, C polypeptide-associated protein [Source:MGI Symbol;Acc:MGI:97811]"
"37","Dusp2","3",0.968,3.48500797807817,"dual specificity phosphatase 2 [Source:MGI Symbol;Acc:MGI:101911]"
"38","Ctsw","3",0.967,3.09549400665658,"cathepsin W [Source:MGI Symbol;Acc:MGI:1338045]"
"39","Klre1","3",0.963,3.61785341050183,"killer cell lectin-like receptor family E member 1 [Source:MGI Symbol;Acc:MGI:2662547]"
"40","Klrk1","3",0.961,3.39758007454967,"killer cell lectin-like receptor subfamily K, member 1 [Source:MGI Symbol;Acc:MGI:1196250]"
